snapped_at,price,market_cap,total_volume
2022-06-20 00:00:00 UTC,0.017947221835750295,0.0,154840.9643612464
2022-06-21 00:00:00 UTC,0.019233947663440637,0.0,173006.82836920003
2022-06-22 00:00:00 UTC,0.018782340362047702,0.0,99520.88001342666
2022-06-23 00:00:00 UTC,0.018648703979432055,0.0,301017.26193169627
2022-06-24 00:00:00 UTC,0.01843188233392599,0.0,151491.71642168678
2022-06-25 00:00:00 UTC,0.018803798131431702,0.0,203762.72006124168
2022-06-26 00:00:00 UTC,0.018934993745117736,0.0,23455.79405728259
2022-06-27 00:00:00 UTC,0.019550937113544366,0.0,118227.39341862068
2022-06-28 00:00:00 UTC,0.01892074157227634,0.0,130017.20472524002
2022-06-29 00:00:00 UTC,0.017625773100850558,0.0,29706.317193819916
2022-06-30 00:00:00 UTC,0.016855211850583106,0.0,77773.81920793703
2022-07-01 00:00:00 UTC,0.01696959219788676,0.0,91332.92158859024
2022-07-02 00:00:00 UTC,0.016767508433412282,0.0,29218.01830434905
2022-07-03 00:00:00 UTC,0.0168198229386869,0.0,60119.434487617465
2022-07-04 00:00:00 UTC,0.016877971081784005,0.0,112920.24708390296
2022-07-05 00:00:00 UTC,0.017121699939170332,0.0,83256.59659183575
2022-07-06 00:00:00 UTC,0.017284730198200877,0.0,110326.88442171658
2022-07-07 00:00:00 UTC,0.01731996781252273,0.0,36720.57896983819
2022-07-08 00:00:00 UTC,0.01753942254251951,0.0,53531.899159251836
2022-07-09 00:00:00 UTC,0.016777756191045847,0.0,178632.68523404055
2022-07-10 00:00:00 UTC,0.016520266132201412,0.0,22267.855481278795
2022-07-11 00:00:00 UTC,0.01600731249904255,0.0,151906.6604205147
2022-07-12 00:00:00 UTC,0.015554141299326984,0.0,53447.80106820759
2022-07-13 00:00:00 UTC,0.014980353287317871,0.0,28953.63914297425
2022-07-14 00:00:00 UTC,0.016010006459125443,0.0,202868.63253839355
2022-07-15 00:00:00 UTC,0.014081013245402414,0.0,155410.10027258217
2022-07-16 00:00:00 UTC,0.013258441069282707,0.0,170235.81630286959
2022-07-17 00:00:00 UTC,0.014493567572296613,0.0,80524.15978457191
2022-07-18 00:00:00 UTC,0.014107468755273758,0.0,23408.691821447766
2022-07-19 00:00:00 UTC,0.016047141727442482,0.0,146978.44937908574
2022-07-20 00:00:00 UTC,0.01935449740015246,0.0,203723.50699687863
2022-07-21 00:00:00 UTC,0.01719548959211002,0.0,270853.27181184693
2022-07-22 00:00:00 UTC,0.018482801861910796,0.0,61191.10018754541
2022-07-23 00:00:00 UTC,0.01717405381203078,0.0,42300.91575689537
2022-07-24 00:00:00 UTC,0.01665160092787866,0.0,87348.89803189998
2022-07-25 00:00:00 UTC,0.016302147601306022,0.0,98792.27386920952
2022-07-26 00:00:00 UTC,0.015906158341199173,0.0,57236.79157551686
2022-07-27 00:00:00 UTC,0.016774741035108367,0.0,97097.72682373077
2022-07-28 00:00:00 UTC,0.01781605933982419,0.0,46869.28700747593
2022-07-29 00:00:00 UTC,0.017273767125401907,0.0,133191.13596136103
2022-07-30 00:00:00 UTC,0.017733305256904495,0.0,120175.633336156
2022-07-31 00:00:00 UTC,0.017303470326994263,0.0,60426.77544092799
2022-08-01 00:00:00 UTC,0.01652681273180655,0.0,58586.206263265376
2022-08-02 00:00:00 UTC,0.01651820592466175,0.0,63746.22178505839
2022-08-03 00:00:00 UTC,0.01619755674756684,0.0,113384.81442916056
2022-08-04 00:00:00 UTC,0.01653876991626577,0.0,29704.465161239226
2022-08-05 00:00:00 UTC,0.016183680503696368,0.0,83615.82267450227
2022-08-06 00:00:00 UTC,0.01687686684165113,0.0,89475.52728031063
2022-08-07 00:00:00 UTC,0.016914485270308907,0.0,63148.69445164193
2022-08-08 00:00:00 UTC,0.017569741191269337,0.0,55494.21703878916
2022-08-09 00:00:00 UTC,0.017085018399959018,0.0,39122.65974949083
2022-08-10 00:00:00 UTC,0.017404172615604993,0.0,127679.05618856057
2022-08-11 00:00:00 UTC,0.017295038528311674,0.0,313336.6974677442
2022-08-12 00:00:00 UTC,0.01610511693923987,0.0,362690.8350946157
2022-08-13 00:00:00 UTC,0.016790802298351445,0.0,168661.86116497696
2022-08-14 00:00:00 UTC,0.016512400076116828,0.0,41704.1449401475
2022-08-15 00:00:00 UTC,0.0167807221630801,0.0,64790.64229937285
2022-08-16 00:00:00 UTC,0.016461640043494867,0.0,117089.97161417648
2022-08-17 00:00:00 UTC,0.016581342011291703,0.0,111726.61511850072
2022-08-18 00:00:00 UTC,0.015383731886204675,0.0,76666.85212845769
2022-08-19 00:00:00 UTC,0.015135539881458354,0.0,58646.709671832905
2022-08-20 00:00:00 UTC,0.0126220682258462,0.0,137975.38279043173
2022-08-21 00:00:00 UTC,0.013498262827329612,0.0,135859.7470213932
2022-08-22 00:00:00 UTC,0.013979822175757129,0.0,40178.10561250876
2022-08-23 00:00:00 UTC,0.013575581039095513,8351484.141716424,26774.142023214037
2022-08-24 00:00:00 UTC,0.013475376128813039,8262404.541398711,60015.738364710836
2022-08-25 00:00:00 UTC,0.014522781866521886,8904264.32021077,224709.40673951877
2022-08-26 00:00:00 UTC,0.014325778370415793,8781417.323217643,112438.11823531415
2022-08-27 00:00:00 UTC,0.01253279123005022,7650638.806057812,248917.65246091725
2022-08-28 00:00:00 UTC,0.012615360829013612,7720403.3128162455,91263.6653114183
2022-08-29 00:00:00 UTC,0.01205047860095279,7395670.802861407,49873.614271413455
2022-08-30 00:00:00 UTC,0.012399682929895175,7603097.593172454,104648.04219230135
2022-08-31 00:00:00 UTC,0.011483031378096028,7056648.622937498,55688.64457162834
2022-09-01 00:00:00 UTC,0.01190175829990248,7297035.393194509,82721.83429116565
2022-09-02 00:00:00 UTC,0.012009947104834448,7356424.508462251,33136.00303594023
2022-09-03 00:00:00 UTC,0.012140482973629914,7443118.804092714,49703.10807167707
2022-09-04 00:00:00 UTC,0.011775195480765527,7217303.230721937,26481.512075273433
2022-09-05 00:00:00 UTC,0.012174844064665909,7457262.014647738,38950.18794348585
2022-09-06 00:00:00 UTC,0.01177152800610032,7208240.33661626,70218.45701693231
2022-09-07 00:00:00 UTC,0.011341647782717434,6952470.739271438,123768.526933037
2022-09-08 00:00:00 UTC,0.011766920508848748,7181501.21822291,50021.8800237761
2022-09-09 00:00:00 UTC,0.012576392988672457,7708806.424067458,125063.146253806
2022-09-10 00:00:00 UTC,0.01258765264010626,7546861.778459952,48669.05022720341
2022-09-11 00:00:00 UTC,0.012975421772731295,7955656.620854468,61705.349134993485
2022-09-12 00:00:00 UTC,0.012047286710439531,7386091.085959853,47329.831302276136
2022-09-13 00:00:00 UTC,0.011686842803118292,7504419.865141248,84314.24586833057
2022-09-14 00:00:00 UTC,0.011564547570429191,7403274.037100478,64833.63830476164
